UserId,BirthDate,Age,Balance,Status,createdAt,Localidade
0,1979-06-29,44,4820.78,inactive,2023-03-15,Feijó
1,1992-01-23,32,5021.77,active,2023-09-06,Ubatuba
2,1994-11-28,29,7456.59,inactive,2023-05-26,Feira de Santana
3,1997-11-08,26,1273.27,active,2023-06-18,Jaú
4,1992-10-09,31,3902.57,active,2023-10-28,Chapecó
5,1991-02-21,33,9314.2,active,2023-05-13,Campos Dos Goytacazes
6,2000-02-14,24,9554.71,inactive,2023-11-25,Manaus
7,1990-02-08,34,2571.71,active,2023-05-15,Uruará
8,1993-01-22,31,3777.31,active,2023-08-30,Belford Roxo
9,1997-04-06,27,7957.24,inactive,2023-11-11,Pará de Minas
10,2000-11-21,23,1758.34,active,2023-12-09,Salvador
11,1996-04-30,28,2864.41,active,2023-07-09,Quixadá
12,2000-06-21,23,2899.14,inactive,2023-04-13,Conselheiro Lafaiete
13,1987-02-05,37,4955.1,active,2023-11-23,Baião
14,1991-05-27,33,9330.21,active,2023-09-21,Guarulhos
15,1998-04-01,26,9799.79,active,2023-09-09,Petrolina
16,1972-01-17,52,9537.98,inactive,2023-10-20,Cícero Dantas
17,1969-06-30,54,8713.93,inactive,2023-10-19,São José do Rio Preto
18,1977-08-26,46,8223.6,active,2023-01-10,Mossoró
19,1991-03-23,33,7683.98,inactive,2023-06-24,Ponta Grossa
20,1978-01-10,46,5894.06,active,2023-04-25,Manaus
21,1999-10-13,24,2064.9,active,2023-11-03,São Paulo
22,1999-09-15,24,7997.09,active,2023-05-29,Jaboatão Dos Guararapes
23,1992-04-14,32,7322.01,inactive,2023-09-03,São Gonçalo do Amarante
24,1995-06-14,28,9302.53,inactive,2023-09-17,Palmas
25,1989-09-27,34,4731.97,inactive,2023-02-20,Hortolândia
26,1992-02-25,32,1462.34,active,2023-07-17,São Francisco de Itabapoana
27,1994-01-30,30,3083.81,active,2023-10-12,Palmares
28,1999-06-03,25,3744.56,inactive,2023-09-20,Belo Horizonte
29,1998-07-05,25,6272.69,inactive,2023-05-18,São Paulo
30,1977-03-16,47,8527.65,inactive,2023-07-27,Vila Velha
31,1990-08-24,33,3033.92,inactive,2023-03-08,Araraquara
32,2001-09-14,22,9307.6,active,2023-09-02,Campo Grande
33,1996-08-07,27,6398.48,active,2023-12-25,São Paulo
34,1966-04-05,58,4479.5,active,2023-03-04,Belém
35,1977-06-15,46,2944.71,active,2023-02-08,Lajeado
36,1997-10-01,26,4573.91,active,2023-07-13,Dracena
37,1989-06-12,34,4662.53,inactive,2023-07-05,Monte Alto
38,1971-06-10,52,8549.97,active,2023-06-05,Rio de Janeiro
39,1999-11-27,24,9802.23,inactive,2023-06-04,Rosário
40,1992-06-05,32,8233.8,inactive,2023-05-28,Cachoeira do Sul
41,2000-06-10,23,8365.08,inactive,2023-03-13,Fortaleza
42,1998-12-20,25,5347.58,inactive,2023-12-28,Cachoeiro de Itapemirim
43,1993-09-10,30,1499.97,inactive,2023-11-24,Gravataí
44,1976-09-09,47,4728.32,active,2023-10-31,Itaquaquecetuba
45,1993-10-29,30,8310.04,inactive,2023-11-02,Embu
46,1972-07-06,51,6347.56,inactive,2023-05-17,Aracaju
47,1987-02-01,37,2798.87,active,2023-01-09,Taboão da Serra
48,1973-12-09,50,9067.8,active,2023-04-08,Florianópolis
49,1963-07-25,60,6031.36,active,2023-12-19,Juazeiro do Norte
50,1981-02-10,43,5103.92,active,2023-12-09,Rio de Janeiro
51,1991-10-13,32,4535.36,active,2023-04-15,Santa Maria da Vitória
52,1991-03-29,33,3078.68,active,2023-06-02,Carpina
53,1976-01-24,48,7314.09,active,2023-02-03,São Paulo
54,1974-07-31,49,9617.54,active,2023-09-28,Belém
55,2001-05-25,23,2152.83,active,2023-01-18,Brasília
56,1997-09-29,26,3666.81,active,2023-05-10,Feira de Santana
57,1990-03-26,34,7560.74,inactive,2023-11-29,Nova Iguaçu
58,1997-03-09,27,8309.28,inactive,2023-09-29,São Paulo
59,1999-07-01,24,6414.74,active,2023-09-05,Teófilo Otoni
60,1989-01-27,35,9297.75,inactive,2023-06-29,Lorena
61,1998-01-03,26,9250.5,active,2023-09-04,Duque de Caxias
62,1994-06-20,29,4544.42,active,2023-08-15,Goiânia
63,1973-07-16,50,9143.94,inactive,2023-01-31,Rondonópolis
64,1999-01-15,25,5774.67,active,2023-11-22,Jaboatão Dos Guararapes
65,1990-10-29,33,9079.82,active,2023-04-07,Jaíba
66,1976-06-15,47,2763.86,inactive,2023-10-16,Tianguá
67,1975-11-03,48,1442.49,inactive,2023-05-11,Leme
68,1972-07-03,51,3236.95,inactive,2023-07-08,Brasília
69,1974-11-04,49,3087.23,active,2023-03-06,Maranguape
70,1971-04-21,53,1950.35,active,2023-06-12,São Paulo
71,2001-01-20,23,9171.0,inactive,2023-06-06,Santo Antônio de Pádua
72,1999-04-25,25,5060.33,inactive,2023-05-11,Novo Repartimento
73,1996-04-20,28,3350.75,active,2023-02-15,Mogi Guaçu
74,2001-04-06,23,6757.0,active,2023-08-09,Manaus
75,1995-08-11,28,1947.44,inactive,2023-04-25,Feira de Santana
76,2000-08-04,23,3601.29,active,2023-07-26,Campo Grande
77,1988-05-12,36,3445.88,inactive,2023-03-03,Simões Filho
78,1998-01-04,26,7932.27,inactive,2023-04-21,Cuiabá
79,1995-01-11,29,6352.87,active,2023-06-26,Recife
80,1993-12-30,30,3648.46,active,2023-10-12,Francisco Beltrão
81,1995-07-12,28,8603.1,inactive,2023-10-07,Tefé
82,1998-11-12,25,8003.83,active,2023-09-22,Itanhaém
83,1999-08-04,24,5840.72,active,2023-12-08,Salvador
84,1994-12-26,29,9922.19,active,2023-08-31,Maracaju
85,1999-10-11,24,7084.24,active,2023-11-01,Caucaia
86,1983-01-16,41,2559.16,inactive,2023-06-29,São Luís
87,1992-06-01,32,3229.21,active,2023-06-22,Cariacica
88,1994-06-28,29,3291.83,active,2023-12-07,João Pessoa
89,1993-11-20,30,6511.07,active,2023-12-11,Nova Viçosa
90,1999-10-22,24,5378.48,inactive,2023-04-02,Blumenau
91,1995-12-27,28,3339.88,inactive,2023-04-26,São Paulo
92,1994-04-22,30,4209.56,active,2023-10-31,Pojuca
93,1973-08-17,50,7792.52,active,2023-11-03,Parobé
94,1985-02-24,39,8424.92,inactive,2023-04-17,Guarapuava
95,2001-05-20,23,4189.57,inactive,2023-08-15,Missão Velha
96,1989-09-12,34,1529.34,inactive,2023-03-06,Valinhos
97,1991-08-19,32,8612.86,active,2023-08-06,Palmas
98,1999-07-19,24,1513.9,active,2023-04-05,Diadema
99,2001-10-20,22,2947.87,inactive,2023-07-10,São Paulo
100,1986-12-12,37,8323.2,active,2023-02-01,Seabra
101,1990-05-23,34,6978.53,active,2023-09-04,Betim
102,1981-02-24,43,7675.28,inactive,2023-09-29,Lages
103,1993-10-04,30,4192.24,active,2023-01-16,Itaqui
104,1988-01-30,36,4197.03,active,2023-04-26,Chapadinha
105,1987-10-07,36,1731.04,active,2023-02-14,Nova Iguaçu
106,2001-07-28,22,7802.13,inactive,2023-10-16,Caruaru
107,2000-08-26,23,4551.52,inactive,2023-08-12,Campinas
108,1998-05-29,26,7287.21,inactive,2023-07-21,Goiânia
109,1990-07-25,33,3301.28,inactive,2023-05-16,Formiga
110,1974-11-24,49,2740.2,inactive,2023-12-14,Fortaleza
111,1998-01-28,26,2154.07,active,2023-05-09,Salvador
112,1981-09-23,42,2181.09,inactive,2023-12-18,São Paulo
113,1986-10-28,37,5674.13,active,2023-11-27,São Carlos
114,1993-10-12,30,7509.53,active,2023-08-05,Goiânia
115,1992-08-29,31,7454.27,active,2023-03-03,São Luís
116,2000-12-29,23,8489.88,inactive,2023-07-08,Santa Maria
117,1999-01-16,25,3533.1,inactive,2023-11-11,Luziânia
118,1993-01-03,31,5274.92,active,2023-11-29,Itaquaquecetuba
119,1991-12-15,32,4497.97,inactive,2023-06-25,Itapevi
120,1993-10-21,30,3786.69,inactive,2023-04-10,Jaboatão Dos Guararapes
121,1990-01-06,34,7078.75,inactive,2023-07-09,Vitória da Conquista
122,1984-09-11,39,7329.29,active,2023-06-27,Alfenas
123,1990-10-13,33,4247.99,active,2023-11-01,São Félix do Xingu
124,1988-03-04,36,5797.6,inactive,2023-04-05,São Paulo
125,1991-02-24,33,6312.68,active,2023-11-11,São Bernardo do Campo
126,1983-07-26,40,1401.08,active,2023-01-04,São Paulo
127,1995-05-15,29,8105.81,inactive,2023-12-16,Carapicuíba
128,1997-08-29,26,6332.88,active,2023-12-02,Cuiabá
129,1989-11-11,34,3026.87,active,2023-06-03,Salvador
130,1990-04-10,34,6628.1,active,2023-02-05,Rio de Janeiro
131,1983-11-05,40,3143.02,inactive,2023-01-24,Pimenta Bueno
132,1998-04-10,26,6462.73,inactive,2023-02-14,São Gonçalo
133,1996-05-08,28,4035.09,inactive,2023-12-10,Santa Bárbara D´oeste
134,1993-05-03,31,6628.95,active,2023-01-24,Palhoça
135,1998-05-24,26,5636.21,inactive,2023-04-25,Feira de Santana
136,1999-10-16,24,1586.38,inactive,2023-03-10,Caruaru
137,1999-08-05,24,9053.1,active,2023-08-01,Guarulhos
138,1982-04-25,42,5415.27,inactive,2023-09-28,Capão da Canoa
139,1998-06-22,25,8615.41,active,2023-04-21,Uberlândia
140,1989-03-04,35,6924.12,active,2023-06-09,Sousa
141,1987-08-12,36,5699.06,inactive,2023-09-22,Laguna
142,1999-04-18,25,5262.98,inactive,2023-03-28,Ribeirão Das Neves
143,1997-06-30,26,2025.52,inactive,2023-06-22,São João da Barra
144,1998-09-30,25,2323.1,active,2023-06-05,Araxá
145,1981-11-05,42,7948.46,inactive,2023-05-13,São Paulo
146,1993-01-03,31,4056.58,inactive,2023-06-06,Itupeva
147,1992-05-31,32,5616.27,active,2023-11-28,Brejo
148,1976-03-18,48,6305.15,active,2023-12-27,Itatiba
149,1973-12-27,50,6347.93,inactive,2023-10-12,São Paulo
